"";"geo";"time";"nace_r2";"B11__CP_MEUR";"B11__CP_MNAC";"B1G__CLV15_MNAC";"B1G__CP_MEUR";"B1G__CP_MNAC";"B1GQ__CLV15_MNAC";"B1GQ__CP_MEUR";"B1GQ__CP_MNAC";"D1__CP_MEUR";"D1__CP_MNAC";"D1_D4_MD5__I16";"D11__CP_MEUR";"D11__CP_MNAC";"D12__CP_MEUR";"D12__CP_MNAC";"EMP_DC__THS_HW";"EMP_DC__THS_PER";"P6__CLV15_MNAC";"P6__CP_MEUR";"P6__CP_MNAC";"P61__CLV15_MNAC";"P61__CP_MEUR";"P61__CP_MNAC";"P62__CLV15_MNAC";"P62__CP_MEUR";"P62__CP_MNAC";"P7__CLV15_MNAC";"P7__CP_MEUR";"P7__CP_MNAC";"SAL_DC__THS_HW";"SAL_DC__THS_PER";"nulc_aper_oecd";"nulc";"nulc_eur";"nulc_va";"nulc_aper";"nulc_aper_va";"nulc_hw";"nulc_hw_va";"nulc_hw_va_eur";"rulc_aper";"rulc_hw_va";"emp_ind";"lp_ind";"d1_per_ind";"lp_hw_ind";"d1_hw_ind";"d1net_hw_ind";"gdp_ind";"exp_ind";"exp_goods_ind";"exp_serv_ind";"tbalance_gdp";"nulc_aper_rel15";"nulc_aper_rel_bis";"nulc_aper_rel_imf";"nulc_rel_imf";"nulc_eur_rel_imf";"rulc_aper_imf";"gdp_ind_rel_imf";"exp_ind_rel_imf";"exp_goods_ind_rel_imf";"exp_serv_ind_rel_imf";"XPERF";"XGSVD";"XMKT";"eci";"nulc_eo"
"1";"AT";1995-01-01;"TOTAL";-418,9;-402,9;52803,7;40649,9;39098;59723,7;45186,6;43461,5;23266,1;22377,9;NA;19175,6;18443,6;4090,5;3934,3;1583910;3577,15;17826,7;15304,9;14720,6;11932,5;10754,4;10343,8;6006;4550,5;4376,8;19412,3;15723,8;15123,5;1271473;3088,35;NA;87,9259847304134;91,4158501618236;88,5372759489725;87,604785599533;88,2137678027058;88,8008129164262;89,4181780253141;92,9672700188472;109,149383387649;111,408460353975;87,2907805572027;84,0137970927222;73,6015088171852;78,9357256130487;70,0970013749997;NA;73,3338367661929;45,024394833233;42,1465513206891;53,3528765115427;-0,00927027369050769;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"AT";1995-04-01;"TOTAL";-689;-654,8;53203,3;41628,9;39566,4;60190,1;46282,5;43989,4;23639,9;22468,6;NA;19476;18511,1;4163,9;3957,6;1590204;3584,55;17851,7;15507,5;14739,1;11922,7;10887,7;10348,3;6046,9;4619,8;4390,9;19685,9;16196,4;15394;1276412;3091,75;NA;87,5982772630259;92,1648217810725;88,2284447869955;87,3626480681078;87,9910447760486;88,4777093579532;89,1141951874854;93,7597653085922;108,381280414892;110,553953395807;87,4713577698226;84,4950918192714;73,8185558353991;79,2372919222435;70,1087764403218;NA;73,906522341061;45,0875366301349;42,1119369311695;53,7162019609803;-0,0148854042110145;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"AT";1995-07-01;"TOTAL";-332,4;-319,2;53322,1;41505,9;39860,2;60330,8;46172,2;44341,6;23469,3;22538,7;NA;19310,4;18544,8;4158,9;3994;1595404;3587,5;18168,3;15651,4;15030,9;12108;10965;10530,2;6186;4686,5;4500,7;19524,2;15983,8;15350,1;1276832;3094,02;NA;87,6666469622001;91,286313653847;88,3065260107675;87,4385889096706;88,0767275497032;88,8070934626359;89,455288417858;93,1488062960701;107,865441653494;110,352990395682;87,5433446316103;84,6229643143679;73,9945353766723;79,1636497450465;70,30437601298;NA;74,0792857638396;45,8871643461004;42,7664314595352;54,9518638195809;-0,00719865769390369;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"AT";1995-10-01;"TOTAL";-806,2;-773;53796,4;42019,2;40288,9;60925,1;46725,6;44801,5;23614,6;22642,2;NA;19404,4;18605,4;4210,1;4036,8;1606929;3600,35;17906,8;15479,3;14841,9;11914,5;10837,2;10391;6120,5;4642,1;4450,9;19730,3;16285,6;15614,9;1280897;3096,31;NA;87,2101410581988;90,9554988929053;87,9299021998817;87,2302719522958;87,9501235345717;88,7004475332255;89,4325002322982;93,2733002970395;107,552964076193;110,267982836254;87,8569145210922;85,1515561048085;74,2793488737678;79,3701065325558;70,403081318588;NA;74,8090178331881;45,2267011505067;42,082973870551;54,3700101047115;-0,0172538865886187;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"AT";1996-01-01;"TOTAL";-983,8;-950,2;53775,1;41656,5;40233,9;61160,3;46565,2;44974,9;23478,2;22676,4;NA;19259,8;18602,1;4218,4;4074,3;1608126;3595,06;18174;15643,1;15108,9;11937;10817,7;10448,2;6396,4;4825,5;4660,7;20166,1;16627;16059,1;1278206;3078,87;87,3901460162743;87,00598328596;90,0823709576664;88,0975973889358;87,3904270525905;88,4867883854422;88,7451613633203;89,8585876828967;93,0358387282189;107,749366064277;110,792242008708;87,7278262163949;85,606062927218;74,8129290508513;79,6172062850052;70,6578650243158;NA;75,0978163906688;45,901560675794;42,1624456832236;56,8209023174212;-0,0211273399162644;103,11006280249;103,157823142905;103,088100510462;103,655310969724;106,205296884907;105,099795259908;94,1127791080952;92,2597311063377;NA;NA;1,0941307175;80652084247,6758;73713389960,4945;2,03268;87,0510046808833
"6";"AT";1996-04-01;"TOTAL";-945,4;-923;54305,6;41682,3;40696,2;61724,4;46602,7;45500,1;23267,7;22717,2;NA;19056;18605,1;4211,7;4112,1;1623038;3597,14;18252,9;15597,5;15228,5;12030,1;10811,5;10555,7;6374,9;4786,1;4672,8;20164,4;16542,9;16151,6;1282746;3083,62;86,6640575591643;86,3659475011465;88,458831047507;87,3939496468624;86,6640498713697;87,6955248049324;88,5945288777944;89,6490492923755;91,8214913906734;106,59454185966;110,265734822539;87,7785830545368;86,3456764489751;74,8320855402604;79,61329340561;70,5344665237334;NA;75,7904663323136;46,1008361868164;42,4912823836599;56,6299121667388;-0,0202856697018248;102,769174060283;102,787876994836;102,590016054004;103,228233227977;104,208502095183;104,607013644861;94,0898075522162;92,0743777547596;NA;NA;1,0972763042;81002554410,0734;73821474224,7692;2,03268;86,3782507556148
"7";"AT";1996-07-01;"TOTAL";-1051,8;-1026,4;54432,7;41975,1;40960,7;61873,8;46959,4;45824,6;23423,7;22857,6;NA;19155,1;18692,2;4268,6;4165,4;1635285;3602,01;18467;15797,8;15416,1;12305,4;11079,6;10811,9;6289,3;4718,2;4604,2;20394,9;16849,7;16442,5;1299253;3093,53;86,8280449740273;86,6898909563554;88,83688570954;87,7287484034081;86,8278385321196;87,8682734556074;88,4595088268015;89,5195644553991;91,73663997681;106,296400382567;109,591388350834;87,8974223823015;86,4376467921498;75,0533700435438;79,2083081503593;70,0687151097531;NA;75,9739123547949;46,6415825354841;43,4636641627159;55,8695048691384;-0,0223984497409688;102,474915616484;102,480748895823;102,24236799629;103,090393202657;104,308700610503;104,10326014578;93,8567447513433;91,4869902298609;NA;NA;1,0912700627;81952412947,8801;75098195900,6096;2,03268;86,7082737602861
"8";"AT";1996-10-01;"TOTAL";-482,6;-476,5;54558,8;41764,7;41233;61969,2;46725,9;46131,1;23228;22932,3;NA;18980,4;18738,8;4247,6;4193,6;1642145;3610,66;19287,3;16338,9;16130,9;12939,4;11518,6;11371,9;6464,2;4820,4;4759;20502,8;16821,5;16607,4;1300766;3098,28;87,0530130761196;86,8393056729863;87,9590530462329;87,812023903205;87,0526958023897;88,0277285219024;88,8801973399336;89,8757680767391;91,0346690426384;106,026827107599;109,464943130032;88,1085025024585;86,3635239525188;75,1832079197221;78,9990353691285;70,2159363172428;NA;76,091052586018;48,7133911754287;45,7030032398009;57,4231875367823;-0,0103292572689574;102,788307739188;102,799097823438;102,581326872785;103,329652430344;103,575361599325;104,082823603707;93,4024100232689;92,107410860386;NA;NA;1,1090412503;85592822342,4086;77177311773,4521;2,03268;86,7659510125923
"9";"AT";1997-01-01;"TOTAL";-701,4;-699,8;54806,1;41504,8;41407,6;62357,8;46587,6;46478,5;23000,2;22946,4;NA;18786,3;18742,3;4213,9;4204;1660397;3618,19;19716,5;16546,7;16508;13505,2;11886,7;11858,9;6274,8;4660;4649,1;21130;17248,1;17207,7;1312891;3107,29;86,4925191061354;86,351203047605;86,5536615911657;87,4695401023376;86,4923954487964;87,612485677896;88,5376526314673;89,6842982253177;89,8945715250302;105,212676281011;109,095153351628;88,2922520174623;86,7242346365226;75,0112968262225;78,6205804282763;69,6102417783758;NA;76,5682087060732;49,7974095446403;47,7014544224739;55,7406975582131;-0,0150564239379498;101,397719459874;101,398238066124;101,617655367587;102,308611159178;100,598123734664;102,67176097344;94,5130599249455;92,8352810786995;NA;NA;1,0999123546;87497619345,3259;79549628637,2721;1,91867;86,3735579136357
"10";"AT";1997-04-01;"TOTAL";-350;-350,9;55009;41574,5;41673,1;62563;46691,3;46802;23034,1;23088,7;NA;18815,4;18860;4218,7;4228,7;1645488;3621,48;20638,7;17275;17315,9;14303,8;12547,3;12577;6368,2;4727,7;4738,9;21620,4;17625;17666,8;1305048;3111,09;86,7161112901945;86,6017229707076;86,3969278079569;87,6873433984064;86,7161523820568;87,8031316952425;88,5260545085652;89,6357897078812;89,4238196048416;105,100459487257;108,638801111146;88,3725356701001;86,9305714614128;75,3842827743625;79,593984693998;70,4628571163667;NA;76,8201707128548;52,126584148757;50,5221739602659;56,5703943058285;-0,00749754284004957;102,436857209681;102,406390614718;102,52528943291;103,237230970212;100,71107127243;103,289919411857;93,6833385713309;94,0498681799108;NA;NA;1,1192479899;91589939019,5706;81831676129,3549;1,91867;86,6213337444454
