"";"geo";"time";"EMP_DC__THS_PER";"SAL_DC__THS_PER";"B1GQ__CP_MNAC";"B1GQ__CP_MEUR";"B1GQ__CP_PPS";"B1GQ__CLV15_MNAC";"gdp_ind_rel_ameco15";"gdp_ind_rel_ameco24";"gdp_ind_rel_ameco37";"B1GQA__CLV15_MNAC";"B1G__CP_MNAC";"B1G__CP_MEUR";"B1G__CP_PPS";"B1G__CLV15_MNAC";"D1__CP_MNAC";"D1__CP_MEUR";"D1__CP_PPS";"D1_aper__CP_MNAC";"HWCDW_0_1_0";"HWCDW_99_0_0";"nulc_aper";"nulc_aper_eur";"nulc_aper_rel_ameco15";"nulc_aper_rel_ameco24";"nulc_aper_rel_ameco37";"nulc_aper_usd_rel_ameco15";"nulc_aper_usd_rel_ameco24";"nulc_aper_usd_rel_ameco37";"rulc_aper";"rulc_aper_rel_ameco15";"rulc_aper_rel_ameco24";"rulc_aper_rel_ameco37";"P7__CLV15_MNAC";"P61__CLV15_MNAC";"P6__CLV15_MNAC";"exp_ind_rel_ameco15";"exp_ind_rel_ameco24";"exp_ind_rel_ameco37";"P62__CLV15_MNAC";"P7__CP_MNAC";"P7__CP_MEUR";"P61__CP_MNAC";"P61__CP_MEUR";"P6__CP_MNAC";"P6__CP_MEUR";"P62__CP_MNAC";"P62__CP_MEUR";"exp_perf_ameco";"B11__CP_MNAC"
"1";"BE";70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"BE";1960;3529,071;2624,917;14966,4;11432,4;9703,6;96491,5;96,6766558;103,0958608;NA;23468,1075;NA;NA;NA;NA;6219,4;4750,8;4032,4;2369,36;NA;1,80988;14,4708757;11,0538264;133,1835477;NA;NA;106,8795467;NA;NA;93,2965205;86,7254137;NA;NA;23202,5;15169,4;21496,5;NA;NA;NA;7580,4;5025,9;3839,1;3823,6;2920,7;4938,1;3772;1163,6;888,8;128,7179432;-121,47
"3";"BE";1961;3553,023;2665,577;15893,8;12014,1;10527,8;101291;97,0298194;103,5923722;NA;24530,5906;NA;NA;NA;NA;6524,7;4932;4321,9;2447,76;NA;1,85027;14,3379861;10,8380868;125,5349993;NA;NA;98,9091159;NA;NA;91,3760645;83,7256428;NA;NA;24872,5;16927,2;23466,7;NA;NA;NA;7538,2;5526,6;4177,6;4242,3;3206,7;5420,5;4097,4;1204,6;910,6;132,2360296;-143,78
"4";"BE";1962;3598,786;2727,384;16991;12813,9;11524,5;106539,4;97,6696333;103,7633161;NA;25827,2965;NA;NA;NA;NA;7169;5406,5;4862,5;2628,52;NA;1,98232;14,8268388;11,1817551;124,0220228;NA;NA;97,3401993;NA;NA;92,9693222;84,7270751;NA;NA;26913,6;18895,2;25841,9;NA;NA;NA;7790,9;6027,4;4545,6;4701,3;3545,5;6030;4547,6;1368,9;1032,4;135,097676;-29,75
"5";"BE";1963;3603,373;2774,685;18277,6;13784,2;12526,8;111231,4;97,7040896;103,669198;NA;26845,6585;NA;NA;NA;NA;7887,7;5948,6;5406;2842,74;NA;2,14387;15,378355;11,5976845;122,6351704;NA;NA;96,2517112;NA;NA;93,5876626;84,6466219;NA;NA;29241,4;20723,1;27970,9;NA;NA;NA;7889,2;6813;5138,1;5247,6;3957,5;6664,9;5026,4;1430,5;1078,8;135,2602964;-195,84
"6";"BE";1964;3625,592;2847,117;20457,2;15427,9;13987,7;118959,4;98,0061474;104,0167688;NA;28787,4756;NA;NA;NA;NA;8893,8;6707,3;6081,2;3123,79;NA;2,35583;15,8983997;11,9898795;121,5422703;NA;NA;95,3939352;NA;NA;92,44992;84,0347415;NA;NA;31830,7;22544;30608,3;NA;NA;NA;8899,9;7653,7;5772,1;5917,1;4462,4;7599,8;5731,5;1738,5;1311,1;134,0111596;-99,16
"7";"BE";1965;3621,413;2873,985;22295,6;16814,4;15143,3;123225,4;96,9553372;102,5688467;NA;29922,1168;NA;NA;NA;NA;9842,9;7423,1;6685,4;3424,84;NA;2,58286;16,8077282;12,6756554;122,749771;NA;NA;96,3416569;NA;NA;92,8945319;84,3813417;NA;NA;33922,4;24175,7;32467,2;NA;NA;NA;8913,9;8170,5;6161,9;6393,7;4821,8;8171,8;6162,8;1819;1371,8;132,2118577;-42,76
"8";"BE";1966;3627,019;2895,643;23939;18053,8;16241,2;127054;96,621411;101,5443316;NA;30913,047;NA;NA;NA;NA;10788,7;8136,4;7319,5;3725,84;NA;2,80987;17,7614115;13,3948817;123,7741259;NA;NA;97,1456343;NA;NA;94,2670422;85,208608;NA;NA;37287,7;25884,6;34961,7;NA;NA;NA;9896,6;9266,2;6988,2;7079,6;5339,2;9125,8;6882,3;2128,7;1605,3;132,7331789;-200,79
"9";"BE";1967;3613,871;2885,325;25659;19441,7;17387,7;131969,5;97,2137822;102,0138981;NA;32108,2403;NA;NA;NA;NA;11552,9;8753,6;7828,8;4004,03;NA;3,03383;18,3099807;13,8733516;124,8579831;NA;NA;98,3115055;NA;NA;94,1718318;85,8586555;NA;NA;37878,1;26669;36455,1;132,8291298;137,2768544;NA;10963,4;9461,5;7168,9;7292,2;5525,2;9562,1;7245,2;2433,3;1843,7;131,6888075;57,02
"10";"BE";1968;3605,411;2882,464;27435,8;21513,8;18663,8;137475,5;95,9777023;100,7090076;NA;33442,7469;NA;NA;NA;NA;12276,3;9626,4;8351,2;4258,96;NA;3,33966;18,651962;14,6259108;123,4882417;NA;NA;99,5060651;NA;NA;93,4613877;85,6173721;NA;NA;42314,5;30268,7;40903,8;133,1560796;138,1341247;NA;11609,2;10628,3;8334,2;8263,5;6479,8;10746,4;8426,8;2624,9;2058,3;132,2988038;69,41
