"";"geo";"time";"B1G__CLV15_MNAC";"B1G__CP_MEUR";"B1G__CP_MNAC";"D1__CP_MEUR";"D1__CP_MNAC";"D1_D4_MD5__I16";"D11__CP_MEUR";"D11__CP_MNAC";"D12__CP_MEUR";"D12__CP_MNAC";"EMP_DC__THS_HW";"EMP_DC__THS_PER";"SAL_DC__THS_HW";"SAL_DC__THS_PER";"nace0";"nulc_va";"nulc_va_eur";"nulc_aper_va";"nulc_aper_va_eur";"nulc_hw_va";"nulc_hw_va_eur";"rulc_aper_va";"rulc_hw_va";"emp_ind";"lp_ind";"d1_per_ind";"va_ind";"nulc_va_rel_ecfin13";"nulc_va_eur_rel_ecfin13";"nulc_aper_va_rel_ecfin13";"nulc_aper_va_eur_rel_ecfin13";"nulc_hw_va_rel_ecfin13";"nulc_hw_va_eur_rel_ecfin13";"rulc_aper_va_rel_ecfin13";"rulc_hw_va_rel_ecfin13";"emp_ind_rel_ecfin13";"lp_ind_rel_ecfin13";"d1_per_ind_rel_ecfin13";"va_ind_rel_ecfin13"
"1";"AT";1996-01-01;53775,1;41656,5;40233,9;23478,2;22676,4;NA;19259,8;18602,1;4218,4;4074,3;1608126;3595,06;1278206;3078,87;"total";88,0975973889358;91,2125827299268;88,4867883854422;91,6155348763953;89,8585876828967;93,0358387282189;107,284990053241;108,948335629388;87,7278262163949;84,543896136689;74,8129290508513;74,1655443589123;105,041391235428;106,417258108454;104,65187962994;106,022571165247;NA;NA;104,674002755188;NA;98,2293299201599;95,3707541349184;99,8096841912534;93,6796254308239
"2";"AT";1996-01-01;8955;8182,3;7902,8;5228;5049,5;NA;4309,9;4162,7;918,1;886,8;282464;657,62;270980;637,04;"manu";106,912850975018;110,692223962253;106,979093450103;110,760808111128;106,781606323735;110,556339807998;116,498543526305;116,285771135482;107,473565510141;65,9134379192742;70,5552187774959;70,8304084316265;106,441853081791;107,832511272737;106,309702870249;107,698615869407;NA;NA;110,780143332777;NA;93,5521251851193;94,1518529211989;100,109615695486;88,0681077095303
"3";"AT";1996-04-01;54305,6;41682,3;40696,2;23267,7;22717,2;NA;19056;18605,1;4211,7;4112,1;1623038;3597,14;1282746;3083,62;"total";87,3939496468624;89,5117445018885;87,6955248049324;89,8206276523394;89,6490492923755;91,8214913906734;106,154797668366;108,519644616167;87,7785830545368;85,3285665589289;74,8320855402604;74,8971993680597;104,794296362894;104,967144446951;104,326248182055;104,498251934952;NA;NA;104,403909076053;NA;98,1032713374876;95,3825132550052;99,511387707599;93,5709413074344
"4";"AT";1996-04-01;9023,2;8177,6;7984,1;5134,4;5012,9;NA;4226,2;4126,2;908,2;886,7;279893;656,63;267772;635,96;"manu";105,335699087559;107,888769653327;105,421015301203;107,976153715912;105,497733428759;108,054731296579;114,49823548363;114,58381386923;107,311771723676;66,515559671336;70,1627672618326;71,3698426979623;105,53330993784;105,705350658193;105,381700886327;105,553476169709;NA;NA;109,29156015196;NA;93,7296363086793;94,2582890418525;99,3479190189851;88,3349606659776
"5";"AT";1996-07-01;54432,7;41975,1;40960,7;23423,7;22857,6;NA;19155,1;18692,2;4268,6;4165,4;1635285;3602,01;1299253;3093,53;"total";87,7287484034081;89,901471894552;87,8682734556074;90,0444524771678;89,5195644553991;91,73663997681;105,92440617783;107,915141528081;87,8974223823015;85,4126383373166;75,0533700435438;75,0724931506471;104,564613014976;104,686886437407;103,898543839495;104,019966389114;NA;NA;103,930776299741;NA;98,1502638089437;95,2414154114777;98,9568206311653;93,4772784289607
"6";"AT";1996-07-01;9187,7;8364,8;8162,7;5133,5;5009,5;NA;4220,5;4118,6;913;890,9;278909;656,53;266702;635,97;"manu";103,379564739524;105,938515937788;103,445913268089;106,006506789447;103,588519919528;106,152643378959;111,898249403571;112,054712851749;107,295428916962;67,7385064818617;70,1140768649579;72,6709708037136;103,280915606143;103,397827257564;103,120671992283;103,237384369314;NA;NA;107,018802104495;NA;94,2066606759455;95,236929529523;98,2257012684562;89,7063385167798
"7";"AT";1996-10-01;54558,8;41764,7;41233;23228;22932,3;NA;18980,4;18738,8;4247,6;4193,6;1642145;3610,66;1300766;3098,28;"total";87,812023903205;88,9443139686663;88,0277285219024;89,1627999854681;89,8757680767391;91,0346690426384;105,660049308297;107,878377881938;88,1085025024585;85,405411436597;75,1832079197221;75,2464077531985;104,884207881672;104,438007610455;104,317845407704;103,873982667114;NA;NA;104,068270665757;NA;98,3577484704269;94,5421692860197;98,626722958637;92,9871397118421
"8";"AT";1996-10-01;9136,3;8263,3;8158,1;5070,8;5006,3;NA;4164,9;4111,9;905,9;894,4;278867;655,51;266440;635,05;"manu";103,894759878223;105,233315700316;103,950297639213;105,289568996848;104,191434117655;105,533812221362;111,877833524255;112,139566127488;107,128732288483;67,4643619131696;70,1707986698852;72,2644177056247;104,410398285208;103,962585668079;104,247214032326;103,800083327136;NA;NA;107,574056120749;NA;94,4133009115717;93,7515365103225;97,7500234126299;88,5009050266287
"9";"AT";1997-01-01;54806,1;41504,8;41407,6;23000,2;22946,4;NA;18786,3;18742,3;4213,9;4204;1660397;3618,19;1312891;3107,29;"total";87,4695401023376;87,6746206926483;87,612485677896;87,8179014175968;89,6842982253177;89,8945715250302;105,192864000221;107,680526577999;88,2922520174623;85,6139834055131;75,0112968262225;75,5874789761243;103,887029124025;103,275317042726;103,216969613331;102,609132432825;NA;NA;102,867339204654;NA;98,6079669693772;94,9788494315228;98,0365869392468;93,6542072953971
"10";"AT";1997-01-01;9245,1;8290;8270,6;5023,7;5012;NA;4123,4;4113,8;900,3;898,2;279717;653,51;266831;632,64;"manu";102,788984062106;103,028934403991;102,920729550258;103,160987438474;103,245189095236;103,486204400985;110,564176486012;110,914914439439;106,801876154211;68,4766904655091;70,5183080550476;73,1249814618906;103,184413256385;102,573472017238;103,076152166249;102,465834294087;NA;NA;105,807912443262;NA;94,0481246125813;94,4490422180047;97,3709080820209;88,8141578453573
